reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
9d0646ff-ca6d-468b-b228-2bf8be92dd05,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It is vee good to have,5,0,30.8.0.100,2025-05-02 16:58:24,,,30.8.0.100
32f69cf2-14ab-4e48-a3e8-dde6d18c74a3,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"We demand transparent pricing, with increases due to tariffs clearly and explicitly stated!",1,3,30.8.0.100,2025-05-02 16:11:59,,,30.8.0.100
4388488f-82ed-464b-acff-a59da4588076,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Repeatedly sent out the wrong products even after being told. Utterly hopeless,1,0,30.8.0.100,2025-05-02 16:06:46,,,30.8.0.100
bb056f30-0214-45ac-b0a0-cb07df737d59,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,best ever,5,0,30.8.0.100,2025-05-02 15:44:27,,,30.8.0.100
f7cefb31-026b-4af2-9f66-5494b8d6f96b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,never had any problems.,5,0,30.8.0.100,2025-05-02 15:31:00,,,30.8.0.100
47611fc9-283c-457b-a697-787cfb48beae,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"man, please open an amazon branch in nepal too please man. amazon got super things that other websites don't have. Please open amazon in nepal",4,0,,2025-05-02 15:20:11,,,
8386f325-c942-46a9-bef0-8df0daf9932a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"nothing loads. it's always that stupid dog and an ""uh-oh"" message.",1,2,30.8.0.100,2025-05-02 15:17:36,,,30.8.0.100
bc815a95-1b47-4b9e-8e70-89d9bb94e73b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,VAT at different rates can affect the final price advertised !! Pity VAT wasn't standard throughout the EU !,4,0,30.8.0.100,2025-05-02 14:32:05,,,30.8.0.100
1e4f0b9b-cbe7-40e3-a64c-d7976f9e8e10,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,they care about u and their products,5,0,30.8.0.100,2025-05-02 14:27:12,,,30.8.0.100
9cc61133-0b0e-4902-b2dd-88a76ea4f769,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Deliberately made it impossible to unsubscribe from Amazon Music Unlimited. Clicked on the Cancel Subscription link and then got taken to the ""Your Amazon Music Settings"" page and there is no option to cancel my Amazon Music Subscription. Absolutely disgusting display of ethical behavior towards your customers.",1,0,30.8.0.100,2025-05-02 14:25:50,,,30.8.0.100
64904fe9-8e21-4f94-a240-2c560d385f23,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,It's good for me to shop online. Thanks.,5,0,30.8.0.100,2025-05-02 14:23:09,,,30.8.0.100
7a003023-ad80-4b16-bdea-286027e4c5cc,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,everything ordered recently is so poor quality fake or wrong size fed up of it you put in prime and still get rubbish,2,0,30.8.0.100,2025-05-02 14:20:54,,,30.8.0.100
84d6fe2c-6adf-497b-9411-df15d1bfa04e,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,doesn't update.....so pointless,1,0,,2025-05-02 14:15:46,,,
